,Fichero,Identificador,Fecha,Fecha_Clasificacion,Objeto,Trayectoria_1,Trayectoria_2,Grosor_1,Grosor_2,Retirada
68,""":{""retired"":{""id"":116920455,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:46.712Z"",""updated_at"":""2023-06-14T07:00:07.389Z"",""retired_at"":""2023-06-14T07:00:07.379Z"",""subject_id"":89716148,""retirement_reason"":""classification_count""}",89716148,"20455,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:4",20230614,Lightning,,,,,False
69,""":{""retired"":{""id"":116920320,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:01:28.160Z"",""updated_at"":""2023-06-14T02:01:41.444Z"",""retired_at"":""2023-06-14T02:01:41.434Z"",""subject_id"":89716095,""retirement_reason"":""classification_count""}",89716095,"20320,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:01:2",20230614,Meteoro,"[701.4245343889497, 1151.114868163629]","[700.4442967006125, 1264.7873796370448]","[659.387512206781, 1068.949127197265]","[663.5575866699215, 1226.161987304687]",False
70,""":{""retired"":null",89716092,,20230614,Meteoro,"[1260.674232768901, 195.6833809988831]","[1236.7181083984365, 227.27643781389497]","[0, 0]","[0, 0]",False
71,""":{""retired"":null",89716099,,20230614,Clouds,,,,,False
72,""":{""retired"":{""id"":116920466,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:05.656Z"",""updated_at"":""2023-06-14T04:57:22.277Z"",""retired_at"":""2023-06-14T04:57:22.267Z"",""subject_id"":89716169,""retirement_reason"":""classification_count""}",89716169,"20466,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:0",20230614,Other,,,,,False
73,""":{""retired"":{""id"":116920487,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:39.565Z"",""updated_at"":""2023-06-14T06:31:28.973Z"",""retired_at"":""2023-06-14T06:31:28.963Z"",""subject_id"":89716094,""retirement_reason"":""classification_count""}",89716094,"20487,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:3",20230614,Meteoro,"[735.2892595052067, 213.4511560058593]","[650.0228613895586, 262.28433268195806]","[0, 0]","[0, 0]",False
74,""":{""retired"":{""id"":116920308,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:00:59.169Z"",""updated_at"":""2023-06-14T01:19:15.367Z"",""retired_at"":""2023-06-14T01:19:15.359Z"",""subject_id"":89716178,""retirement_reason"":""classification_count""}",89716178,"20308,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:00:5",20230614,Meteoro,"[825.0041910807279, 428.36214769726126]","[795.8870686848884, 504.3347554524729]","[1607.539672851562, 1096.755493164062]","[1739.21020507812, 1018.950134277343]",False
75,""":{""retired"":{""id"":116920491,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:39.711Z"",""updated_at"":""2023-06-13T23:36:43.813Z"",""retired_at"":""2023-06-13T23:36:43.804Z"",""subject_id"":89716116,""retirement_reason"":""classification_count""}",89716116,"20491,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:3",20230614,Lightning,,,,,True
76,""":{""retired"":{""id"":116920505,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:06:03.579Z"",""updated_at"":""2023-06-14T03:06:24.630Z"",""retired_at"":""2023-06-14T03:06:24.605Z"",""subject_id"":89716105,""retirement_reason"":""classification_count""}",89716105,"20505,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:06:0",20230614,Lightning,,,,,False
77,""":{""retired"":{""id"":116920405,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:03:28.483Z"",""updated_at"":""2023-06-13T23:00:03.976Z"",""retired_at"":""2023-06-13T23:00:03.967Z"",""subject_id"":89716151,""retirement_reason"":""classification_count""}",89716151,"20405,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:03:2",20230614,Lightning,,,,,True
